statement,source,link,veracity
"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/-website-falsely-claims-obama-was-bust/,0
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/21/donald-trump/1700-percent-increase-asylum-claims/,1
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,1
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,/web/20180701030417/http://www.politifact.com/texas/statements/2018/jun/20/jim-spencer/jim-spencer-may-2018-marked-401st-month-global-tem/,1
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,/web/20180701030417/http://www.politifact.com/north-carolina/statements/2018/jun/20/tim-moore/states-voter-id-laws-have-seen-zero-decrease-turno/,0
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/20/corey-stewart/corey-stewarts-comments-sen-tim-kaine-and-antifa/,0
"""39% of All California Students are illegals.""",Viral image,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/05/viral-image/no-39-california-students-arent-undocumented/,0
"""More than 66% of ALL births in California are to illegals on Medi-Cal.""",Viral image,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/05/viral-image/viral-image-overstates-births-undocumented-mothers/,0
"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",Scott Walker,/web/20180717183606/http://www.politifact.com/wisconsin/statements/2018/jul/05/scott-walker/gov-scott-walker-says-state-schools-chief-tony-eve/,0
"Says Sen. Bill Nelson ""voted for higher taxes"" 349 times.",Rick Scott,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jul/05/rick-scott/did-sen-bill-nelson-vote-higher-taxes-349-no/,0
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,/web/20180717183606/http://www.politifact.com/california/statements/2018/jul/03/donald-trump/pants-fire-white-house-claim-sen-harris-supporting/,0
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/03/becoming-american-initiative/did-ronald-reagan-say-immigrants-made-america-grea/,1
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/03/viral-image/viral-image-criticizing-democrats-featured-fabrica/,0
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,0
"""George H.W. Bush has died at 94.""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/hoax-website-says-george-h-w-bush-died-he-didnt/,0
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,0
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/,0
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-wrong-mercedes-bmw-import-cars-us-mil/,0
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,0
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/,0
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,/web/20180717183606/http://www.politifact.com/illinois/statements/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/,0
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,/web/20180717183606/http://www.politifact.com/wisconsin/statements/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/,0
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,0
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jun/29/adam-putnam/putnam-parrots-previous-absurd-claim-food-stamps-i/,0
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jun/29/ron-desantis/did-adam-putnam-endorse-gang-eight-immigration-amn/,1
"Says Donald Trump ""has not apologized"" for comments caught on tape by ""Access Hollywood.""",Bernie Sanders,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/14/bernie-s/bernie-sanders-wrongly-says-donald-trump-never-apo/,0
"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,Bruce Rauner,/web/20180106054644/http://www.politifact.com/illinois/statements/2017/dec/14/bruce-rauner/rauner-distorts-dems-message-illinois-income-tax/,0
"""In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.""",Vicky Hartzler,/web/20180106054644/http://www.politifact.com/missouri/statements/2017/dec/13/vicky-hartzler/open-fema-case-remains-hartzler-exaggerates-amount/,1
"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",nofakenews-online,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/13/nofakenews-online/no-undocumented-immigrants-were-not-caught-voting-/,0
"""Under Trump’s new tax plan … 99.8% of Americans"" get ""not one nickel"" in tax cuts.",Kelda Helen Roys,/web/20180106054644/http://www.politifact.com/wisconsin/statements/2017/dec/13/kelda-helen-roys/claim-998-americans-wouldnt-get-tax-cut-under-gop-/,0
"""Even with full control of the House, Senate and White House, Republicans have still failed to deliver on their promise of higher wages for working families.""",Nancy  Pelosi,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/12/nancy-pelosi/have-wages-failed-go-donald-trumps-watch/,0
"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",HoustonChronicle-tv.com,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/12/houstonchronicle-tvcom/no-trump-hasnt-fired-justice-departments-rod-rosen/,0
"A Colgate toothpaste is subject to ""recall.""",Shared This,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/12/shared/story-misleads-about-fd-triclosan-and-toothpaste/,0
"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",The Gateway Pundit,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/gateway-pundit/facebook-did-not-remove-gateway-pundit-report-afte/,0
"Says ""Obama’s deadliest cover-up (in an explosion that killed 29 miners) has been uncovered"" by internal government documents.",Don Blankenship,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/11/don-blankenship/convicted-w-va-mining-ceo-falsely-says-government-/,0
"""Black homeownership just hit the highest level it has ever been in the history of our country.""",Donald Trump,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/11/donald-trump/donald-trump-wrong-black-homeownership-rate-record/,0
"""Roy Moore’s accuser arrested and charged with falsification.""",Bloggers,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/blog-posting/fake-news-no-roy-moore-accuser-was-not-arrested-ly/,0
"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",Evening World,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/evening-world/fake-news-about-washington-post-and-roy-moore-accu/,0
"Says Russian President Vladimir Putin got a standing ovation from the Duma after he gave a speech saying Muslims are ""taking over"" other countries but won't take over Russia.",Chain email,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/chain-email/chain-email-putin-says-minorities-should-adopt-rus/,0
"""I released way more (tax) information than Bruce Rauner has.""",JB Pritzker,/web/20180106054644/http://www.politifact.com/illinois/statements/2017/dec/11/jb-pritzker/no-jb-pritzker-did-not-release-more-tax-informatio/,0
"""The FBI has become America's secret police …  like the old KGB.""",Gregg Jarrett,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/08/gregg-jarrett/has-fbi-become-americas-secret-police/,0
"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",Ryan Sitton,/web/20180106054644/http://www.politifact.com/texas/statements/2017/dec/08/ryan-sitton/ryan-sitton-errantly-says-12-million-people-left-w/,0
"""Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore’s Yearbook 'Signature.' """,Bloggers,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/08/blog-posting/no-roy-moore-accuser-didnt-tamper-or-forge-yearboo/,0
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,0
"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/-website-falsely-claims-obama-was-bust/,0
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/21/donald-trump/1700-percent-increase-asylum-claims/,1
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,1
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,/web/20180715231626/http://www.politifact.com/texas/statements/2018/jun/20/jim-spencer/jim-spencer-may-2018-marked-401st-month-global-tem/,1
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,/web/20180715231626/http://www.politifact.com/north-carolina/statements/2018/jun/20/tim-moore/states-voter-id-laws-have-seen-zero-decrease-turno/,0
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/20/corey-stewart/corey-stewarts-comments-sen-tim-kaine-and-antifa/,0
"""I have always condemned … any of these white supremacists or bigots or anything like that.""",Corey  Stewart,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/20/corey-stewart/corey-stewarts-history-far-right-explained/,0
"Says the ""Pope calls for world wide gun confiscation except for the UN""",Common Sense News,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/20/common-sense-news/fake-news-says-pope-called-world-wide-gun-confisca/,0
"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""",Matt  Schlapp,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/19/matt-schlapp/no-donald-trumps-separation-immigrant-families-was/,0
"""There’s actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""",Ted Cruz,/web/20180715231626/http://www.politifact.com/texas/statements/2018/jun/18/ted-cruz/ted-cruz-says-child-parent-separations-border-tied/,0
"""Crime in Germany is way up.""",Donald Trump,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/18/donald-trump/donald-trump-wrong-about-crime-germany/,0
"""Senate report admits Clinton ‘gifted’ children to human traffickers""",YourNewsWire.com,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/18/yournewswirecom/false-headline-wrongly-links-hillary-clinton-forme/,0
"""Trump approval rating better than Obama and Reagan at same point in their presidencies.""",The Gateway Pundit,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/18/gateway-pundit/headline-says-trump-tied-obama-same-point-presiden/,1
"Says ""massive floods"" led to Legionnaires’ disease outbreaks at the Quincy Veterans’ Home.",Bruce Rauner,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/18/bruce-rauner/rauners-legionnaires-claim-misses-mark-and-point/,0
"""Of all the 62 counties in New York state, all of them, unemployment is going up except for the five counties of New York City.""",Edward Cox,/web/20180213195651/http://www.politifact.com/new-york/statements/2018/jan/17/edward-cox/unemployment-inching-almost-every-county-outside-n/,1
"""The graduation rate in New York City has increased by 50 percent in 13 years""",Bill de Blasio,/web/20180213195651/http://www.politifact.com/new-york/statements/2018/jan/17/bill-de-blasio/how-much-has-graduation-rate-increased-nyc-start-m/,1
"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",Republican News,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/17/republican-news/no-uranium-one-investigation-has-not-led-indictmen/,0
"Conservative groups have spent $5 million ""against"" Tammy Baldwin -- five times more than against all other Democratic U.S. Senate incumbents up for election in 2018 combined.",Martha Laning,/web/20180213195651/http://www.politifact.com/wisconsin/statements/2018/jan/17/martha-laning/millions-more-spent-defeat-tammy-baldwin-all-other/,1
"""Oprah tells Fox News host ‘all white people have to die.’""",AmericanNews.com,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/16/americannewscom/oprahs-comments-about-race-2013-bbc-interview-dist/,0
"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",Robert Chody,/web/20180213195651/http://www.politifact.com/texas/statements/2018/jan/12/robert-chody/nearly-half-texas-vehicle-thefts-keys-left-inside-/,0
"Says the Obama administration ""sold perhaps the best located and finest embassy in London ... only to build a new one in an off location for 1.2 billion dollars.""",Donald Trump,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/12/donald-trump/trump-wrongly-faults-obama-london-embassy-move/,0
"""Atlanta is on its strongest financial footing in 40 years.""",Keisha Lance Bottoms,/web/20180213195651/http://www.politifact.com/georgia/statements/2018/jan/12/keisha-lance-bottoms/atlantas-finances-best-40-years/,1
"In 2011 under Scott Walker, Wisconsin for the first time spent ""more on our prison system than we did"" on the University of Wisconsin System.",Kelda Helen Roys,/web/20180213195651/http://www.politifact.com/wisconsin/statements/2018/jan/12/kelda-helen-roys/ahead-2018-election-gov-scott-walker-attacked-spen/,1
"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",Norm Eisen,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/11/norm-eisen/donald-trumps-fake-news-awards-could-land-white-ho/,1
"""A ‘gerrymander’ is by definition and common understanding, a strange looking ‘monster’ drawing. This map is clearly not that.""",Robin Hayes,/web/20180213195651/http://www.politifact.com/north-carolina/statements/2018/jan/10/robin-hayes/nc-gop-gerrymander-strange-looking-monster-drawing/,0
"Says a ""recent analysis"" showed that 91 percent of Deferred Action for Childhood Arrivals (DACA) recipients are employed, in school or serving in the military.",Julián Castro,/web/20180213195651/http://www.politifact.com/texas/statements/2018/jan/10/julian-castro/julian-castro-daca-recipients-employed-school-mili/,1
"When President Barack Obama ""signed the executive order (on DACA, he) actually said he doesn't have the right to do this.""",Donald Trump,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/09/donald-trump/obama-hedged-didnt-say-he-lacked-legal-right-daca/,0
"""GDP is booming. Let’s spread the prosperity to the middle class with big #TaxCuts. Our #TaxReform package doubles standard deduction, brings $$$ back home, and reduces rates for ALL taxpayers. We will #MAGA.""",Lou Barletta,/web/20180119081744/http://www.politifact.com/pennsylvania/statements/2017/dec/06/lou-barletta/pa-rep-lou-barletta-overstates-benefits-house-tax-/,0
"Wisconsin's Lincoln Hills youth prison has a ""66 percent recidivism rate,"" while ""states like Missouri, that have more of a regional model -- 8 percent.""",Gordon Hintz,/web/20180119081744/http://www.politifact.com/wisconsin/statements/2017/dec/06/gordon-hintz/recidivism-rate-wisconsins-lincoln-hills-youth-pri/,0
"""Only 20 percent of our current graduates from Texas high schools go ahead and achieve either a national certificate or a community college degree -- or a college degree.""",Tom Luce,/web/20180119081744/http://www.politifact.com/texas/statements/2017/dec/05/tom-luce/tom-luce-understates-share-texas-students-succeedi/,0
"""Breaking: federal judge grants permission to subpoena Trump.""",news.groopspeak.com,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/dec/05/newsgroopspeakcom/no-judge-grant-subpoena-president-donald-trump/,0
"""Tennessee GOP twitter taken down after tweet exposing Pelosi involved in pedophilia.""",PuppetStringNews.com,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/dec/05/puppetstringnewscom/fake-russian-twitter-account-center-fake-tweet-abo/,0
"""Hillary Clinton lied many times to the FBI.""",Donald Trump,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/dec/05/donald-trump/donald-trump-falsely-claims-hillary-clinton-lied-f/,0
"""The violent crime rate has risen, and the homicide rate has risen by more than 20 percent in just two years, really after 30 years of decline in violent crime.""",Jeff Sessions,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/dec/04/jeff-sessions/violent-crime-some-still-well-historical-highs/,1
These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,Daniel Biss,/web/20180119081744/http://www.politifact.com/illinois/statements/2017/dec/04/daniel-biss/biss-accurate-sarcastic-tax-hit-opponents-pritzker/,1
"Says that ""perpetrators of domestic violence accounted for 54% of mass shootings between 2009 and 2016, according to the advocacy group Everytown for Gun Safety.""",Eddie Rodriguez,/web/20180119081744/http://www.politifact.com/texas/statements/2017/dec/02/eddie-rodriguez/domestic-violence-not-confirmed-precursor-mass-sho/,0
"""Simply being in this country without documentation is not a crime""",Kathy Sheehan,/web/20180119081744/http://www.politifact.com/new-york/statements/2017/dec/01/kathy-sheehan/being-undocumented-immigrant-us-not-crime/,1
"""Prince Harry says Donald Trump is not welcome at his wedding: ‘Trump is a serious threat to human rights.’ """,Nova magazine,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/dec/01/nova-magazine/prince-harry-never-said-donald-trump-wasnt-welcome/,0
"Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.""",Donald Trump,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/nov/30/donald-trump/will-gop-tax-bill-cost-donald-trump-fortune-no/,0
"""For years, they have not been able to get tax cuts -- many, many years, since Reagan.""",Donald Trump,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/nov/30/donald-trump/donald-trump-wrong-no-tax-cuts-passed-reagan/,0
"""If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",Tim Scott,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/nov/29/tim-scott/if-you-pay-no-taxes-will-you-end-more-money-under-/,0
"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/nov/29/religionmindcom/fake-news-girls-saudi-arabia-will-be-beheaded-danc/,0
"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/29/religionmindcom/fake-news-girls-saudi-arabia-will-be-beheaded-danc/,0
"Singer Tina Turner: ""This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.""",dailynewsforamericans.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/29/dailynewsforamericanscom/no-evidence-tina-turner-thankful-donald-trump/,0
"Says Joe Scarborough is party to an ""unsolved mystery"" from his time as a congressman in Florida.",Donald Trump,/web/20180119142313/http://www.politifact.com/truth-o-meter/statements/2017/nov/29/donald-trump/donald-trumps-pants-fire-unsolved-mystery-attack-j/,0
"Wisconsin has ""the fastest-shrinking middle class in the country.""",Mahlon Mitchell,/web/20180119142313/http://www.politifact.com/wisconsin/statements/2017/nov/29/mahlon-mitchell/its-close-wisconsin-doesnt-have-fastest-shrinking-/,0
