statement,source,link,veracity
"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",Norm Eisen,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/11/norm-eisen/donald-trumps-fake-news-awards-could-land-white-ho/,1
"""Breaking: federal judge grants permission to subpoena Trump.""",news.groopspeak.com,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/dec/05/newsgroopspeakcom/no-judge-grant-subpoena-president-donald-trump/,0
"""Tennessee GOP twitter taken down after tweet exposing Pelosi involved in pedophilia.""",PuppetStringNews.com,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/dec/05/puppetstringnewscom/fake-russian-twitter-account-center-fake-tweet-abo/,0
"""Hillary Clinton lied many times to the FBI.""",Donald Trump,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/dec/05/donald-trump/donald-trump-falsely-claims-hillary-clinton-lied-f/,0
These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,Daniel Biss,/web/20180119081744/http://www.politifact.com/illinois/statements/2017/dec/04/daniel-biss/biss-accurate-sarcastic-tax-hit-opponents-pritzker/,1
"Says that ""perpetrators of domestic violence accounted for 54% of mass shootings between 2009 and 2016, according to the advocacy group Everytown for Gun Safety.""",Eddie Rodriguez,/web/20180119081744/http://www.politifact.com/texas/statements/2017/dec/02/eddie-rodriguez/domestic-violence-not-confirmed-precursor-mass-sho/,0
"""Prince Harry says Donald Trump is not welcome at his wedding: ‘Trump is a serious threat to human rights.’ """,Nova magazine,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/dec/01/nova-magazine/prince-harry-never-said-donald-trump-wasnt-welcome/,0
"Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.""",Donald Trump,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/nov/30/donald-trump/will-gop-tax-bill-cost-donald-trump-fortune-no/,0
"""For years, they have not been able to get tax cuts -- many, many years, since Reagan.""",Donald Trump,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/nov/30/donald-trump/donald-trump-wrong-no-tax-cuts-passed-reagan/,0
"""If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",Tim Scott,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/nov/29/tim-scott/if-you-pay-no-taxes-will-you-end-more-money-under-/,0
"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/nov/29/religionmindcom/fake-news-girls-saudi-arabia-will-be-beheaded-danc/,0
"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/29/religionmindcom/fake-news-girls-saudi-arabia-will-be-beheaded-danc/,0
"Singer Tina Turner: ""This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.""",dailynewsforamericans.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/29/dailynewsforamericanscom/no-evidence-tina-turner-thankful-donald-trump/,0
"Says Joe Scarborough is party to an ""unsolved mystery"" from his time as a congressman in Florida.",Donald Trump,/web/20180119142313/http://www.politifact.com/truth-o-meter/statements/2017/nov/29/donald-trump/donald-trumps-pants-fire-unsolved-mystery-attack-j/,0
"""Melania Trump: 'If ISIS Lays a finger on Barron, I’ll scratch Obama’s eyes out.' """,YourNewsWire.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/28/yournewswirecom/no-proof-melania-trump-said-if-isis-harms-her-son-/,0
"""President Trump just saved Christmas for 13 million retirees.""",Reaganwasright,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/27/reaganwasright/fake-news-says-trump-sending-stimulus-money-retire/,0
"""Southwest Airlines celebrating 50th anniversary by providing 2 free tickets to everyone!""",soutwest-air.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/27/soutwest-aircom/offer-free-tickets-southwest-airlines-scam/,0
"""Satanists have teamed up with the ACLU and Planned Parenthood in Missouri to roll back the rights of the unborn.""",Ann Wagner,/web/20180119142313/http://www.politifact.com/missouri/statements/2017/nov/24/ann-wagner/satanic-temple-has-not-teamed-planned-parenthood-o/,0
"""Wisconsin's driver licenses and identification (ID) cards are currently the most secure in the nation.""",Wisconsin Department of Transportation,/web/20180119142313/http://www.politifact.com/wisconsin/statements/2017/nov/24/wisconsin-department-transportation/are-wisconsins-driver-licenses-most-secure-nation-/,1
"""Pope Francis at Mass: ‘Jesus is Metaphorical, Not Literal.""",YourNewsWire.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/22/yournewswirecom/no-proof-pope-francis-said-jesus-metaphorical/,0
"""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""",Pipo News,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/21/pipo-news/fake-news-civil-war-erupts-sweden/,0
"""‘The largest bust in U.S. history’ 412 Muslims arrested from Michigan!""",Freshmedianews.com,/web/20180119155920/http://www.politifact.com/punditfact/statements/2017/nov/21/freshmedianewscom/misleading-headline-says-412-michigan-muslims-bust/,0
"Says Doug Jones ""is for full-term abortion.""",Kayla Moore,/web/20180119155920/http://www.politifact.com/truth-o-meter/statements/2017/nov/21/kayla-moore/moores-wife-coins-new-anti-abortion-term-attack-hi/,0
"""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",Brian Higgins,/web/20180119155920/http://www.politifact.com/new-york/statements/2017/nov/20/brian-higgins/not-all-state-and-local-tax-deductions-eliminated-/,0
"""2 million rounds of ammo that ‘went missing’ under Obama turns up in enemy hands""",world-newss.com,/web/20180119155920/http://www.politifact.com/punditfact/statements/2017/nov/20/world-newsscom/fake-news-2-million-rounds-us-ammo-turns-afghanist/,0
"""BUSTED: NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.""",AmericanNews.com,/web/20180119155920/http://www.politifact.com/punditfact/statements/2017/nov/20/americannewscom/no-nasa-antarctica-study-didnt-discredit-climate-c/,0
"Says the Austin school district ""enjoys the highest per-student funding of all large Texas districts"" even after forwarding tax revenue to the state.",Roger Falk,/web/20180119155920/http://www.politifact.com/texas/statements/2017/nov/17/roger-falk/taxpayer-incorrectly-says-austin-school-district-t/,0
"Iran’s regime ""every Friday declares war on us.""",Sebastian Gorka,/web/20180119155920/http://www.politifact.com/north-carolina/statements/2017/nov/16/sebastian-gorka/fact-check-former-white-house-aide-says-iran-every/,0
"""The Texas unemployment rate is now the lowest it’s been in 40 years & Texas led the nation last month in new job creation.""",Greg Abbott,/web/20180119155920/http://www.politifact.com/texas/statements/2017/nov/16/greg-abbott/greg-abbott-makes-false-claims-about-texas-unemplo/,0
Bowe Bergdahl wanders off during court-martial,Duffel Blog,/web/20180119155920/http://www.politifact.com/punditfact/statements/2017/nov/16/duffel-blog/no-bowe-bergdahl-didnt-wander-during-court/,0
"Californians pay ""the highest electricity bills"" in the nation.",John Cox,/web/20180119155920/http://www.politifact.com/california/statements/2017/nov/16/john-cox/does-california-have-highest-electricity-bills-nat/,0
"Says Chuck Todd said the Roy Moore story ""felt completely orchestrated.""",Steve Bannon,/web/20180119155920/http://www.politifact.com/truth-o-meter/statements/2017/nov/15/steve-bannon/behind-stephen-bannons-misrepresentation-chuck-tod/,0
"BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",Reaganwasright,/web/20180119162004/http://www.politifact.com/punditfact/statements/2017/nov/15/reaganwasright/no-rosa-parks-granddaughter-didnt-praise-trump/,0
Donna Brazile knows Seth Rich was murdered by the Clintons,US Political,/web/20180119162004/http://www.politifact.com/punditfact/statements/2017/nov/15/us-political/fake-headline-says-donna-brazile-knows-seth-rich-w/,0
"Says a Washington Post reporter is ""calling to find out if anyone at this address is a female between the ages of 54 to 57 years old willing to make damaging remarks about candidate Roy Moore"" for up to $7,000.",Anonymous Caller,/web/20180119162004/http://www.politifact.com/truth-o-meter/statements/2017/nov/15/anonymous-caller/no-washington-post-did-not-offer-7000-roy-moore-di/,0
"""There are ‘sore loser’ laws that would bar Luther Strange from pursuing a seat"" because he already lost the Alabama Republican Senate runoff to Roy Moore.",Amanda Carpenter,/web/20180119162004/http://www.politifact.com/punditfact/statements/2017/nov/14/amanda-carpenter/given-roy-moores-troubles-could-luther-strange-run/,0
"Says a Washington Post reporter who broke news on Judge Roy Moore story has a criminal history of ""faking.""",Bloggers,/web/20180119162004/http://www.politifact.com/truth-o-meter/statements/2017/nov/14/blog-posting/no-washington-post-roy-moore-reporter-doesnt-have-/,0
"""Second Roy Moore Accuser Works For Michelle Obama Right NOW""",TheLastLineOfDefense.org,/web/20180119162004/http://www.politifact.com/punditfact/statements/2017/nov/14/thelastlineofdefenseorg/headline-tying-roy-moore-accuser-obamas-fake/,0
"The Republican tax bill is ""not being scored by the Congressional Budget Office, as it is traditionally.""",Richard Durbin,/web/20180119162004/http://www.politifact.com/truth-o-meter/statements/2017/nov/13/richard-durbin/dick-durbin-wrong-gop-tax-bill-hasnt-had-independe/,0
"""Snapchat is shutting down!'",Bloggers,/web/20180119162004/http://www.politifact.com/punditfact/statements/2017/nov/13/blog-posting/fake-headline-snapchat-shutting-down-should-just-d/,0
"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",Michael Williams,/web/20180119162004/http://www.politifact.com/georgia/statements/2017/nov/13/michael-williams/did-bump-stocks-prevent-more-casualties-las-vegas/,0
"Malia Obama was ""among 10 arrested in racist Antifa attack,"" and the cop who arrested her was ""found dead under suspicious circumstances.""",Bloggers,/web/20180119163549/http://www.politifact.com/punditfact/statements/2017/nov/10/blog-posting/fake-news-writers-stir-nonsense-saying-malia-obama/,0
"Since 1965, California has built ""six (college) campuses but 23 prisons.""",Delaine Eastin,/web/20180119163549/http://www.politifact.com/california/statements/2017/nov/09/delaine-eastin/false-claim-california-has-built-nearly-four-times/,0
"""Supreme Court issues its first bench warrant ever.""",FreedomJunkshun.com,/web/20180119163549/http://www.politifact.com/punditfact/statements/2017/nov/09/freedomjunkshuncom/fake-news-story-says-supreme-court-issues-bogus-wa/,0
"Says Roy Moore said a ""practicing Muslim should not be a member of Congress because of his faith.""",Jeff Flake,/web/20180119163549/http://www.politifact.com/truth-o-meter/statements/2017/nov/09/jeff-flake/flake-roy-moore-said-muslims-shouldnt-serve-congre/,1
"The Republican tax bill ""lets every American keep more of what they earned.""",Kevin McCarthy,/web/20180119163549/http://www.politifact.com/truth-o-meter/statements/2017/nov/09/kevin-mccarthy/will-every-american-get-tax-cut-house-gop-bill/,0
"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",Adam Putnam,/web/20180119163549/http://www.politifact.com/florida/statements/2017/nov/08/adam-putnam/adam-putnam-right-about-need-more-nurses-state/,1
"Says the University of Florida ""requests to cancel rivalry game"" against Florida State University.",React365.com,/web/20180119163549/http://www.politifact.com/punditfact/statements/2017/nov/07/react365com/gators-will-still-play-seminoles-despite-fake-news/,0
"Chicago is ""the city with the strongest gun laws in our nation.""",Donald Trump,/web/20180119163549/http://www.politifact.com/truth-o-meter/statements/2017/nov/07/donald-trump/trump-wrongly-repeats-chicago-has-strongest-gun-la/,0
"""Texas Church shooter was Antifa and wanted to start (a) ‘communist revolution.’ """,YourNewsWire.com,/web/20180119163549/http://www.politifact.com/punditfact/statements/2017/nov/06/yournewswirecom/fake-news-no-proof-antifa-communism-compelled-texa/,0
"Says ""FBI and Texas State Police are both confirming that Raymond Peter Littleberry, the man accused of shooting up a Texas church, was an avid atheist on the payroll of the Democrat National Committee.""",FreedomJunkshun.com,/web/20180119163549/http://www.politifact.com/truth-o-meter/statements/2017/nov/06/freedomjunkshuncom/no-texas-church-shooter-was-not-dnc-payroll-s-fake/,0
"""Liberals in County Hall want our community to be a sanctuary county""",New York Republican State Committee,/web/20180119164415/http://www.politifact.com/new-york/statements/2017/nov/03/new-york-republican-state-committee/republican-mailer-claims-democrats-are-trying-make/,0
"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",Michael Kearns,/web/20180119164415/http://www.politifact.com/new-york/statements/2017/nov/03/michael-kearns/kearns-constant-critic-sheldon-silver-while-assemb/,1
"""We’re growing union jobs faster than Illinois.""",Eric Holcomb,/web/20180119164415/http://www.politifact.com/illinois/statements/2017/nov/03/eric-holcomb/indiana-governor-right-gloat-about-union-jobs-succ/,1
