statement,source,veracity,date
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,1,2018-06-21
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,1,2018-06-20
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,0,2018-06-20
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,0,2018-06-20
"""I have always condemned … any of these white supremacists or bigots or anything like that.""",Corey  Stewart,0,2018-06-20
"Says the ""Pope calls for world wide gun confiscation except for the UN""",Common Sense News,0,2018-06-20
"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""",Matt  Schlapp,0,2018-06-19
"""There’s actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""",Ted Cruz,0,2018-06-18
"""Crime in Germany is way up.""",Donald Trump,0,2018-06-18
"""Senate report admits Clinton ‘gifted’ children to human traffickers""",YourNewsWire.com,0,2018-06-18
"""Trump approval rating better than Obama and Reagan at same point in their presidencies.""",The Gateway Pundit,1,2018-06-18
"Says ""massive floods"" led to Legionnaires’ disease outbreaks at the Quincy Veterans’ Home.",Bruce Rauner,0,2018-06-18
"""Of all the 62 counties in New York state, all of them, unemployment is going up except for the five counties of New York City.""",Edward Cox,1,2018-01-17
"""The graduation rate in New York City has increased by 50 percent in 13 years""",Bill de Blasio,1,2018-01-17
"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",Republican News,0,2018-01-17
"Conservative groups have spent $5 million ""against"" Tammy Baldwin -- five times more than against all other Democratic U.S. Senate incumbents up for election in 2018 combined.",Martha Laning,1,2018-01-17
"""Oprah tells Fox News host ‘all white people have to die.’""",AmericanNews.com,0,2018-01-16
"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",Robert Chody,0,2018-01-12
"Says the Obama administration ""sold perhaps the best located and finest embassy in London ... only to build a new one in an off location for 1.2 billion dollars.""",Donald Trump,0,2018-01-12
"""Atlanta is on its strongest financial footing in 40 years.""",Keisha Lance Bottoms,1,2018-01-12
"In 2011 under Scott Walker, Wisconsin for the first time spent ""more on our prison system than we did"" on the University of Wisconsin System.",Kelda Helen Roys,1,2018-01-12
"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",Norm Eisen,1,2018-01-11
"""A ‘gerrymander’ is by definition and common understanding, a strange looking ‘monster’ drawing. This map is clearly not that.""",Robin Hayes,0,2018-01-10
"Says a ""recent analysis"" showed that 91 percent of Deferred Action for Childhood Arrivals (DACA) recipients are employed, in school or serving in the military.",Julián Castro,1,2018-01-10
"When President Barack Obama ""signed the executive order (on DACA, he) actually said he doesn't have the right to do this.""",Donald Trump,0,2018-01-09
"""GDP is booming. Let’s spread the prosperity to the middle class with big #TaxCuts. Our #TaxReform package doubles standard deduction, brings $$$ back home, and reduces rates for ALL taxpayers. We will #MAGA.""",Lou Barletta,0,2017-12-06
"Wisconsin's Lincoln Hills youth prison has a ""66 percent recidivism rate,"" while ""states like Missouri, that have more of a regional model -- 8 percent.""",Gordon Hintz,0,2017-12-06
"""Only 20 percent of our current graduates from Texas high schools go ahead and achieve either a national certificate or a community college degree -- or a college degree.""",Tom Luce,0,2017-12-05
"""Breaking: federal judge grants permission to subpoena Trump.""",news.groopspeak.com,0,2017-12-05
"""Tennessee GOP twitter taken down after tweet exposing Pelosi involved in pedophilia.""",PuppetStringNews.com,0,2017-12-05
"""Hillary Clinton lied many times to the FBI.""",Donald Trump,0,2017-12-05
"""The violent crime rate has risen, and the homicide rate has risen by more than 20 percent in just two years, really after 30 years of decline in violent crime.""",Jeff Sessions,1,2017-12-04
These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,Daniel Biss,1,2017-12-04
"Says that ""perpetrators of domestic violence accounted for 54% of mass shootings between 2009 and 2016, according to the advocacy group Everytown for Gun Safety.""",Eddie Rodriguez,0,2017-12-02
"""Simply being in this country without documentation is not a crime""",Kathy Sheehan,1,2017-12-01
"""Prince Harry says Donald Trump is not welcome at his wedding: ‘Trump is a serious threat to human rights.’ """,Nova magazine,0,2017-12-01
"Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.""",Donald Trump,0,2017-11-30
"""For years, they have not been able to get tax cuts -- many, many years, since Reagan.""",Donald Trump,0,2017-11-30
"""If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",Tim Scott,0,2017-11-29
"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,0,2017-11-29
"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,0,2017-11-29
"Singer Tina Turner: ""This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.""",dailynewsforamericans.com,0,2017-11-29
"Says Joe Scarborough is party to an ""unsolved mystery"" from his time as a congressman in Florida.",Donald Trump,0,2017-11-29
"Wisconsin has ""the fastest-shrinking middle class in the country.""",Mahlon Mitchell,0,2017-11-29
"Says Alabama Senate candidate Doug Jones ""wants to raise taxes.""",Donald Trump,0,2017-11-28
"""Melania Trump: 'If ISIS Lays a finger on Barron, I’ll scratch Obama’s eyes out.' """,YourNewsWire.com,0,2017-11-28
"Among states, Missouri ranks ""3rd (in) average yearly growth of high-tech industries.""",Missouri Department of Economic Development,1,2017-11-27
"""President Trump just saved Christmas for 13 million retirees.""",Reaganwasright,0,2017-11-27
"""Southwest Airlines celebrating 50th anniversary by providing 2 free tickets to everyone!""",soutwest-air.com,0,2017-11-27
"""Satanists have teamed up with the ACLU and Planned Parenthood in Missouri to roll back the rights of the unborn.""",Ann Wagner,0,2017-11-24
"Says Josh Hawley ""broke his promise to create a Public Corruption Unit to crack down on the pay-to-play culture of Jefferson City.""",Claire McCaskill,0,2017-11-24
"""Wisconsin's driver licenses and identification (ID) cards are currently the most secure in the nation.""",Wisconsin Department of Transportation,1,2017-11-24
"The North Carolina bathroom bill ""was really never repealed.""",Pat McCrory,0,2017-11-22
"""Pope Francis at Mass: ‘Jesus is Metaphorical, Not Literal.""",YourNewsWire.com,0,2017-11-22
"""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""",Pipo News,0,2017-11-21
"""‘The largest bust in U.S. history’ 412 Muslims arrested from Michigan!""",Freshmedianews.com,0,2017-11-21
"Says Doug Jones ""is for full-term abortion.""",Kayla Moore,0,2017-11-21
"""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",Brian Higgins,0,2017-11-20
"""2 million rounds of ammo that ‘went missing’ under Obama turns up in enemy hands""",world-newss.com,0,2017-11-20
"""BUSTED: NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.""",AmericanNews.com,0,2017-11-20
"""FBI Uniform Crime Report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.""",Nick Schroer,1,2017-11-18
"Says the Austin school district ""enjoys the highest per-student funding of all large Texas districts"" even after forwarding tax revenue to the state.",Roger Falk,0,2017-11-17
"""Bump stocks are already illegal in the state of New York. You can't buy one.""",Andrew Cuomo,0,2017-11-17
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",John Thune,1,2017-11-17
"Iran’s regime ""every Friday declares war on us.""",Sebastian Gorka,0,2017-11-16
"""The Texas unemployment rate is now the lowest it’s been in 40 years & Texas led the nation last month in new job creation.""",Greg Abbott,0,2017-11-16
Bowe Bergdahl wanders off during court-martial,Duffel Blog,0,2017-11-16
"Californians pay ""the highest electricity bills"" in the nation.",John Cox,0,2017-11-16
"Says Chuck Todd said the Roy Moore story ""felt completely orchestrated.""",Steve Bannon,0,2017-11-15
"BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",Reaganwasright,0,2017-11-15
Donna Brazile knows Seth Rich was murdered by the Clintons,US Political,0,2017-11-15
"Says a Washington Post reporter is ""calling to find out if anyone at this address is a female between the ages of 54 to 57 years old willing to make damaging remarks about candidate Roy Moore"" for up to $7,000.",Anonymous Caller,0,2017-11-15
"""When we came into office, we saw that Missouri had 113,000 regulations. That’s more than 7.5 million words; it’s 40 dictionaries worth of regulations.""",Eric  Greitens,1,2017-11-15
"""Breaking! Roy Moore’s accuser worked for Democratic leaders and is actively campaigning for Moore’s opponent.""",Activist Mommy,0,2017-11-15
"""There are ‘sore loser’ laws that would bar Luther Strange from pursuing a seat"" because he already lost the Alabama Republican Senate runoff to Roy Moore.",Amanda Carpenter,0,2017-11-14
"Says a Washington Post reporter who broke news on Judge Roy Moore story has a criminal history of ""faking.""",Bloggers,0,2017-11-14
"""Second Roy Moore Accuser Works For Michelle Obama Right NOW""",TheLastLineOfDefense.org,0,2017-11-14
"""Hispanic entrepreneurs, those who have immigrated from Spanish-speaking countries, often start three times as many businesses as white males.""",Chris King,1,2017-11-14
"The Republican tax bill is ""not being scored by the Congressional Budget Office, as it is traditionally.""",Richard Durbin,0,2017-11-13
"""Snapchat is shutting down!'",Bloggers,0,2017-11-13
"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",Michael Williams,0,2017-11-13
"""Underreported fact: President @realDonaldTrump raised more in small dollar donations than Obama in 2012 and than Clinton and Bernie combined!""",Kayleigh McEnany,1,2017-11-13
"""In 2010, 48,000 felons and fugitives lied and illegally tried to purchase guns. They [The Obama administration] prosecuted only 44 of them.""",Ted Cruz,1,2017-11-10
"""The Democrats filibustered the legislation that would’ve resulted in this shooter being in federal prison instead of murdering those innocents in that Texas church.""",Ted Cruz,0,2017-11-10
"Malia Obama was ""among 10 arrested in racist Antifa attack,"" and the cop who arrested her was ""found dead under suspicious circumstances.""",Bloggers,0,2017-11-10
"""CPS students are learning and growing faster than 96 percent of students in the United States.""",Chicago Public Schools,1,2017-11-10
"Since 1965, California has built ""six (college) campuses but 23 prisons.""",Delaine Eastin,0,2017-11-09
"""Supreme Court issues its first bench warrant ever.""",FreedomJunkshun.com,0,2017-11-09
"Says Roy Moore said a ""practicing Muslim should not be a member of Congress because of his faith.""",Jeff Flake,1,2017-11-09
"The Republican tax bill ""lets every American keep more of what they earned.""",Kevin McCarthy,0,2017-11-09
"""The Legislative Ethics Commission continues to function.""",Michael  Madigan,0,2017-11-09
"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",Adam Putnam,1,2017-11-08
"Says the University of Florida ""requests to cancel rivalry game"" against Florida State University.",React365.com,0,2017-11-07
"Chicago is ""the city with the strongest gun laws in our nation.""",Donald Trump,0,2017-11-07
"""Under the Tax Cuts and Jobs Act, the average American family of four will receive a $1,182 tax cut.""",Markwayne Mullin,1,2017-11-07
"""There are no background checks on long guns (AR15s) in Texas.""",Alyssa Milano,0,2017-11-06
"""Texas Church shooter was Antifa and wanted to start (a) ‘communist revolution.’ """,YourNewsWire.com,0,2017-11-06
"Says Evan ""Jenkins has the same positions on the issues as Joe Manchin: supporting Hillary (Clinton), supporting cap-and-trade, supporting Planned Parenthood, many tax increases.""",Patrick Morrisey,0,2017-11-06
"Says ""FBI and Texas State Police are both confirming that Raymond Peter Littleberry, the man accused of shooting up a Texas church, was an avid atheist on the payroll of the Democrat National Committee.""",FreedomJunkshun.com,0,2017-11-06
"The diversity visa lottery is ""plagued by fraud.""",David Perdue,1,2017-11-06
"Charles Francis ""vows to slash funding for parks and open space.""",Nancy McFarlane,0,2017-11-06
"""Coal production up 7.8% in past year. Down 31.5% last 10 years. #endingwaroncoal.""",Donald Trump,1,2017-11-06
"Says Florida ""workers are paid $8.10 an hour, and our current governor (Rick Scott) runs ads bragging about it.""",Philip Levine,0,2017-11-06
"""IDC members also get tons of campaign money from real estate, charter school, and health care lobbyists, some of whom are Republicans with connections to Trump""",The Creative Resistance,1,2017-11-05
"""Liberals in County Hall want our community to be a sanctuary county""",New York Republican State Committee,0,2017-11-03
"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",Michael Kearns,1,2017-11-03
"""We’re growing union jobs faster than Illinois.""",Eric Holcomb,1,2017-11-03
"Says Jake Tapper said Allahu Akbar was a ""beautiful phrase"" after a terrorist attack in New York.",Sebastian Gorka,0,2017-11-02
Says diversity visa immigrants are not vetted.,Sarah  Huckabee Sanders,0,2017-11-02
"""We are spending more on affordable housing than we're spending on Dix Park right now.""",Nancy McFarlane,1,2017-11-02
"""California Democrat Maxine Waters charged on 3 counts.""",Bloggers,0,2017-11-02
"""It costs nearly five times as much in California to build and maintain a mile of road as it does in the rest of the nation.""",John Cox,0,2017-11-01
"""Alabama’s Crimson Tide was disqualified from national championship.""",BreakingNews247.net,0,2017-11-01
"Says actor Morgan Freeman said, ""Jailing Hillary"" is the best way to ""restore public faith in government.""",Bloggers,0,2017-11-01
"Says the diversity visa lottery program is ""a Chuck Schumer beauty.""",Donald Trump,0,2017-11-01
"Says county parties representing more than half the state’s Republican voters approved resolutions ""demanding changes"" in Texas House leadership.",New Leadership PAC,1,2017-11-01
"Says HIV and AIDS rates have spiked ""due to increased heroin and fentanyl use.""",Edward  Markey,0,2017-10-31
"""Hillary Clinton leaves the country as Mueller indictment is announced.""",FreedomJunkshun.com,0,2017-10-31
"""Breitbart leaks names of four Dems being charged in Mueller’s Russia probe.""",FreedomJunkshun.com,0,2017-10-31
"The University of Missouri saw ""the biggest drop in enrollment of any major university in the country"" since the 2015 protests.",Eric  Greitens,0,2017-10-30
"""The six wealthiest people in the world (have) as much wealth as the bottom half of the world’s population, 3.7 billion people.""",Bernie Sanders,1,2017-10-30
"Says Paul Manafort’s alleged crimes were ""years ago, before Paul Manafort was part of the Trump campaign.""",Donald Trump,0,2017-10-30
"Says Patrick Morrisey ""ran for Congress in NJ as pro-choice.""",Evan Jenkins,0,2017-10-30
"""Jeff Flake’s office leaks names of those charged in Mueller’s Russian probe.""",Bloggers,0,2017-10-30
"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history.""",Delaine Eastin,1,2017-10-27
"What Republicans call the ""death tax"" is the estate tax ""on the ultra wealthy"" which, in 2016, was paid by only ""two out of every 1,000 people.""",Mark Pocan,1,2017-10-27
"Says Roy Moore ""has advocated getting the federal government out of health care altogether, which means doing away with Medicaid, which means doing away with Medicare.""",Doug Jones,0,2017-10-26
"Says the GOP plan he supports is ""the biggest tax cut in U.S. history.""",Donald Trump,0,2017-10-26
"""Youngest world leader bans George Soros’s Foundations from Austria.""",Bloggers,0,2017-10-26
"""The Travis County propositions will not raise your taxes! If you are 65 or older, your property taxes are frozen.""",Travis Forward,0,2017-10-25
"""People who die from a home invasion make up a sad but minuscule .04% of all gun murders in the U.S. And over a third of them are killed by their own gun that the criminal has either stolen or wrestled from them.""",Michael Moore,0,2017-10-25
"""There are parks in Southeast Raleigh that still don’t have air conditioning in the gym""",Charles Francis,1,2017-10-25
"""The city (of St. Louis) is no stranger to violence. There were 5,762 violent crimes in 2015 alone, including 188 homicides. The highest rate per capita in the country, according to FBI crime statistics.""",Pete Hegseth,1,2017-10-24
"Insurance companies ""have made a fortune with Obamacare.""",Donald Trump,0,2017-10-23
"""Opioid crisis (is) the worst in ObamaCare expansion states!""",Matt Gaetz,0,2017-10-23
Sarah Huckabee Sanders dressed up as KKK member on Halloween in 1993.,Bloggers,0,2017-10-23
"Says Tampa Bay Lightning hockey player J.T. Brown was ""fired after raising fist during national anthem.""",Bloggers,0,2017-10-23
"""Tulsa school closes after brutal fire.""",React365.com,0,2017-10-23
"""The KKK was founded as the military arm of the Democratic Party.""",Dane County Republican Party,0,2017-10-23
"""Seventy-three percent of our veterans are graduating from drug courts. By contrast, I think most of the people in the very good drug court program — the graduation rate’s like 53, 55 percent. The point of that is that drug courts are working for veterans.""",Eric  Greitens,1,2017-10-21
"""Women in our state will continue to have cost-free access to reproductive health care""",Andrew Cuomo,1,2017-10-21
"The state and local tax deduction is a major benefit for moderate-income households because ""50% of households that claim State & Local Tax deduction make under $100K.""",Nancy  Pelosi,1,2017-10-20
"At a 2015 dedication of an FBI building in Florida, Rep. Frederica Wilson ""stood up there ... and talked about how she was instrumental in getting the funding for that building, and how she took care of her constituents because she got the money, and she just called up President Obama, and on that phone call he gave the money -- the $20 million -- to build the building. And she sat down.""",John Kelly,0,2017-10-20
"An undocumented immigrant ""was arrested on suspicion of arson in (the) Wine Country fires that have killed at least 40 residents.""",Breitbart,0,2017-10-20
"""And over the last six years, Chicago’s economy has grown faster than the economies of New York City, Washington, D.C., or the national average.""",Rahm Emanuel,0,2017-10-20
"NFL players taking a knee during the national anthem is ""against the law.""",Roy Moore,0,2017-10-19
"""And I think that his engagement with Congress is something that never happened under President Obama. They were never allowed to debate it. They were never allowed to discuss it. So, now Congress is going to be fully engaged on the threats of Iran.""",Nikki Haley,0,2017-10-19
"""The child tax credit, if we don't do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit.""",Marco Rubio,1,2017-10-19
"""In the eight years that I was mayor, (there was a) nearly 50 percent drop in violent crime, gang crime — crime went down because we grew our police department, we focused on constitutional community policing, we did some of the most innovative prevention, intervention, job re-entry programs in the nation.""",Antonio  Villaraigosa,1,2017-10-18
"""We're the highest developed nation taxed in the world.""",Donald Trump,0,2017-10-18
"""The cost-sharing reductions (were) a gift (that) they gave the insurance companies.""",Donald Trump,0,2017-10-18
"""Hillary (Clinton) caught on tape laughing about (Hurricane) Irma ‘wiping out all of those Florida hillbillies’.""",AsAmericanAsApplePie.org,0,2017-10-18
"""Job creation fell by 70 percent in Wisconsin in 2016"" under Scott Walker.",Tony Evers,1,2017-10-18
"""San Juan city council votes unanimously to impeach Trump-hating mayor.""",AsAmericanAsApplePie.org,0,2017-10-17
"""State government spending is at an all-time high. The state is on track to spend more in this fiscal year — more than $17.9 billion — than at any time in state history.""",Oklahoma Council of Public Affairs,0,2017-10-17
"""Our tax code has nearly doubled since 1985.""",Roy Blunt,1,2017-10-17
"""There is a real law in Texas that says it’s illegal to own more than six dildos.""",Colin Jost,1,2017-10-13
"""A California health care CEO is promising to reduce our prescription drug costs.""",Ohioans Against Deceptive Rx Ballot Issue,0,2017-10-13
"An Ohio ballot issue would address the fact that ""we’ve gone from paying about $100 for Epipens to over $600 ... We don’t have a choice but to pay it and the drug companies know it.""",Ohio Taxpayers for Lower Drug Prices,0,2017-10-13
"The Republican tax reform proposal is focused on tax breaks for the middle class ""and not about people who are really high-income earners getting a tax break.""",Paul Ryan,0,2017-10-13
"The NFL is ""getting massive tax breaks.""",Donald Trump,1,2017-10-12
"The Obama administration ""borrowed more than $10 trillion, right? And yet, we picked up $5.2 trillion just in the stock market. ... Maybe in a sense we’re reducing debt.""",Donald Trump,0,2017-10-12
"A Homeland Security study ""showed 120 murders took place that could have been prevented had communities been working with ICE and Homeland Security.""",Casey Cagle,0,2017-10-12
"A viral image shows LeBron James wearing a T-shirt that reads, ""We march, y’all mad. We sit down, y’all mad. We speak up, y’all mad. We die, y’all silent.""",Viral image,0,2017-10-12
"Says a proposed $1.05 billion Austin school district bond proposition ""will require no tax rate increase.""",Committee of Austin's Children PAC,1,2017-10-12
"""Bob Corker gave us the Iran Deal.""",Donald Trump,0,2017-10-12
"""One in 10 babies born in this country is born in Texas.""",Joyce Mauk,1,2017-10-12
